@relation training

@attribute 'preferred position' {top,jungle,mid,adc,support}
@attribute 'current rank(%of top)' numeric
@attribute 'recent P/kill' numeric
@attribute 'highest champ gold' numeric
@attribute 'highest champ cs' numeric
@attribute 'avg turrent' numeric
@attribute 'avg dmg' numeric
@attribute 'number of seasons' numeric
@attribute 'number of recent teammates' numeric
@attribute '# of games played with most played champion' numeric
@attribute 'overall winrate' {high,medium,low}

@data
top,4.97,50,11276,150.2,0.79,115544,6,9,7,medium
top,0.85,47,12307,207.5,1.55,126941,4,6,6,medium
support,35.5,48,13252,204.5,1.20,159833,6,8,4,low
adc,6.7,54,12184,177.0,0.77,112459,7,9,7,medium
mid,3.35,41,12757,185.7,1.41,149375,5,8,2,medium
support,12.6,53,9258,27.5,0.21,25357,2,7,2,high
top,6.8,51,12156,78.5,0.44,132660,5,12,2,medium
jungle,8.82,56,11410,38.7,0.81,125499,5,7,3,high
support,2.42,55,11495,36.0,0.41,125914,6,8,3,high
adc,2.9,51,12606,213.6,1.53,171217,4,15,7,high
jungle,6.5,51,11848,31.9,0.44,122782,2,8,10,medium
mid,6.25,53,13329,165.8,1.05,146619,6,14,25,low
top,13.4,47,12911,198.7,1.92,156687,2,3,16,high
mid,21.3,53,11967,158.9,1.15,131730,3,5,7,medium
jungle,14.8,43,11763,73.6,1.0,143955,5,4,5,medium
top,14.6,47,13906,203.9,1.43,164048,5,0,8,medium
top,16.1,47,11560,152.2,1.13,106669,2,0,14,medium
adc,12.8,46,12519,192.2,1.56,160.716,6,7,14,medium
support,22.2,50,9739,48.0,0.20,37939,3,10,11,medium
mid,18.8,47,12867,172.2,2.37,151864,2,0,54,high
mid,16.5,57,12344,187.1,0.75,129962,5,2,9,medium
mid,21.9,49,11809,175.9,0.50,127943,3,5,9,high
support,29.2,45,9861,11.8,0.19,15895,2,5,3,high
top,13.9,54,12012,192.2,1.80,141371,1,12,7,high
adc,10.3,55,13885,211.9,1.60,155300,3,0,12,medium
mid,5.15,57,12251,196.3,1.58,158714,5,9,3,medium
adc,16.8,46,13877,206.9,0.91,154893,5,4,11,medium
top,19.9,39,12424,201.4,1.18,142266,5,4,4,medium
adc,8.96,52,13312,33.5,0.58,153733,5,7,7,high
adc,30.34,50,13961,213.2,2.17,172786,3,8,2,high
top,12.3,43,11839,139.9,0.64,105342,3,0,12,medium
